Rank,East,West,Midwest,South
1,Villanova,Gonzaga,Kansas,UNC
16,MS/NO,South Dakota,NC / UD,Texas South
8,Wisconsin,Northwest,Miami,Arkansas
9,Virginia Tech,Vanderbilt,Michigan State,Seton Hall
5,VUA,Notre Dame,Iowa State,Minnesota
12,UNC Wilmington,Princeton,Nevada,Mid Tennessee
4,Florida,West Virginia,Purdue,Butler
13,ETSU,Bucknell,Vermont,Winthrop
6,SMU,Maryland,Creighton,Cincinnati
11,PR / SC,Xavier,URI,WF / KS
3,Baylor,FSU,Oregon,UCLA
14,New Mexico,FGCU,Iowa,Kent State
7,South Carolina,Saint Mary's,Michigan,Dayton
10,Marquette,VCU,Oklahoma,Wichita State
2,Duke,Arizona,Louisville,Kentucky
15,Troy,North Dakota,Jackonville,N Kentucky
